gender,age,birth.month,day.you,day.bro,day.mum,day.dad,hemisphere,is.foreign,study.area,outside.work,loan,stress,hours.sleep,coffee,travel.time,transport,transport.other,unsw.satisfaction,phone.wifi,flu,facebook.friends,facebook.time,gym,fruits.vegetables,hair.cost,labour.cost,tennis.tv,survey.finished
Male,99,March,1,5,12,22,Southern,0,Aviation,1,3500,Slightly,7,3,18,Walking,,9,1,15,400,0,5,1,50,30,0,1
Male,99,February,5,23,29,2,Southern,0,Science,1,0,Not at all,8,1,55,Motorbike,,9,1,2,563,0.3,480,5,30,40,1,1
Male,99,September,10,30,14,1,Northern,1,Aviation,1,30000,Slightly,6,0,80,Train/Bus,,8,1,1,30,0,0,2,15,15,0,1
Female,99,August,26,4,6,22,Southern,0,Medicine,0,10000,Moderately,8,0,20,Bicycle,,7,1,2,106,1,5,3,180,180,0,1
Female,22,May,29,3,12,23,Southern,0,Science,1,,Very,6,1,60,Train/Bus,,8,1,15,652,0.5,120,5,110,50,0,1
Female,22,September,27,4,14,18,Southern,0,Science,1,25000,Moderately,8,2,40,Bus,,8,1,3,340,10,240,3,400,250,0,1
Female,99,November,4,11,18,17,Southern,0,Science,1,,Moderately,7,3,120,Train/Bus,,4,1,15,0,0,300,2,30,15,0,1
Female,21,April,6,20,19,14,Southern,0,Commerce,1,60000,Moderately,6,0,120,Train/Bus,,3,1,4,678,35,120,2,20,20,0,1
Male,32,December,4,1,27,11,Southern,0,Other,1,,Very,6,0,60,Car,,6.5,1,1,250,8,15,2,40,40,0,1
Male,23,December,28,23,20,31,Northern,1,Science,1,0,Very,8,0,70,Train/Bus,,8,1,8,100,0,300,3,25,2.5,0,1
Female,20,December,23,19,8,16,Southern,1,Commerce,1,0,Slightly,5,0,65,Train/Bus,,9,1,12,783,0.1,120,3,35,20,0,1
Male,99,April,3,8,14,20,Northern,1,Science,1,,Not at all,8,3,13,Walking,,10,1,35,1700,11,0,2,12,10,0,1
Male,20,April,27,18,14,4,Southern,1,Aviation,0,0,Slightly,8,0,5,Train/Bus,,8,1,35,522,3,0,2,10,15,0,0
Male,19,May,31,25,20,24,Southern,1,Commerce,0,0,Moderately,6,0,20,Train/Bus,,7,1,6,809,8,3,2,30,15,1,1
